,created_at,default_profile,default_profile_image,description,favourites_count,followers_count,friends_count,geo_enabled,id,lang,location,profile_background_image_url,profile_image_url,screen_name,statuses_count,verified,average_tweets_per_day,account_age_days,account_type
1,15-10-2016 21.32,FALSE,FALSE,"Blame @xaiax, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches.
Some images via Lorem Flickr.",4,1589,4,FALSE,7.87E+17,en,unknown,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/787412182602428416/5WawZkPa_normal.jpg,best_in_dumbest,11041,FALSE,7.87,1403,bot
2,09-11-2016 5.01,FALSE,FALSE,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",536,860,880,FALSE,7.96E+17,en,Estados Unidos,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/802329632838037504/CQN6gP7k_normal.jpg,CJRubinPhoto,252,FALSE,0.183,1379,human
3,17-06-2017 5.34,FALSE,FALSE,"Scruffy looking nerf herder and @twitch broadcaster

Contact 📬 svgegent@gmail.com",3307,172,594,TRUE,8.76E+17,en,"Los Angeles, CA",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1278890453291565057/8doB1itg_normal.jpg,SVGEGENT,1001,FALSE,0.864,1159,human
4,21-07-2016 13.32,TRUE,FALSE,"Wife.Godmother.Friend.Feline Fanatic! Assistant Principal, Vestavia Hills Elementary Liberty Park",8433,517,633,TRUE,7.56E+17,en,"Birmingham, AL",,http://pbs.twimg.com/profile_images/1284884924307308545/qqmruXOD_normal.jpg,TinkerVHELPK5,1324,FALSE,0.889,1489,human
5,15-01-2012 16.32,FALSE,FALSE,Loan coach at @mancity & Aspiring DJ,88,753678,116,TRUE,464781334,en,"England, United Kingdom",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/995256625823875072/1vzu-XEj_normal.jpg,JoleonLescott,4202,TRUE,1.339,3138,human
7,08-07-2009 22.22,FALSE,FALSE,"Co-Host of @TheTalkCBS, Judge on @DancingABC, Founder https://t.co/qYbW5GlP0C, Dancer, Choreographer, Animal rescuer/lover. Instagram: @CarrieAnnInaba",5522,291529,1581,TRUE,55050269,en,Los Angeles,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/1275104892235902984/UraV34cu_normal.jpg,carrieanninaba,14535,TRUE,3.581,4059,human
8,07-09-2012 20.01,FALSE,FALSE,Internationally-acclaimed Egyptian Singer.,756,6909959,40,FALSE,809500704,en,unknown,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1243989369419161602/2USvJOcD_normal.jpg,sherine,1223,TRUE,0.421,2902,human
9,16-12-2012 11.43,TRUE,FALSE,,64,24,0,FALSE,1015021614,,unknown,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/611493302156853248/zw1hAWYV_normal.jpg,cordensmaureen,277,FALSE,0.099,2802,human
10,14-02-2012 15.33,FALSE,FALSE,"Man Utd fan. mostly here for football. Takes photos. Ex care worker, does stuff with computers often sarcastic. 🐝🇬🇧🇪🇺",36384,2130,3363,TRUE,492306486,en,United Kingdom,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/1211318786512609281/e6UqYEa4_normal.jpg,GhamGraham,63376,FALSE,20.391,3108,human
11,09-12-2011 14.11,FALSE,FALSE,"Stay hungry, Stay foolish.",127,32,0,FALSE,432537664,en,in the clouds.,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/809682832645824512/WOJIsCmg_normal.jpg,jainabdulaziz,921,FALSE,0.29,3175,human
